Time (Mars Years), Time (Ls), Tsurf 1 bar 30km, Tsurf 1 bar 50km, Tsurf 1 bar 100km
          [Years],     [deg],              [K],              [K],               [K]
        0.4233        142.11        300.094        306.180        333.572
        0.4248        142.65        299.995        306.168        333.168
        0.4263        143.18        299.872        306.123        332.953
        0.4278        143.72        299.691        306.016        332.935
        0.4293        144.26        299.646        305.994        332.901
        0.4308        144.80        299.667        306.013        332.785
        0.4322        145.34        299.621        306.030        332.770
        0.4337        145.88        299.547        306.008        332.648
        0.4352        146.42        299.404        306.023        332.776
        0.4367        146.95        299.252        305.937        332.961
        0.4382        147.49        299.217        305.880        332.986
        0.4397        148.03        299.057        305.831        332.949
        0.4412        148.57        298.981        305.755        332.827
        0.4427        149.11        298.912        305.722        332.774
        0.4442        149.65        298.934        305.663        332.554
        0.4457        150.18        298.874        305.678        332.481
        0.4472        150.72        298.751        305.594        332.312
        0.4487        151.26        298.624        305.564        332.185
        0.4502        151.80        298.444        305.595        332.158
        0.4517        152.34        298.305        305.516        332.095
        0.4532        152.88        298.197        305.418        331.783
        0.4547        153.41        298.085        305.380        331.529
        0.4562        153.95        297.934        305.335        331.394
        0.4577        154.49        297.832        305.299        331.444
        0.4592        155.03        297.732        305.237        331.442
        0.4607        155.57        297.572        305.180        331.616
        0.4622        156.11        297.447        305.128        331.734
        0.4637        156.65        297.352        305.075        331.749
        0.4652        157.18        297.265        305.012        331.720
        0.4666        157.72        297.194        304.884        331.772
        0.4681        158.26        297.099        304.758        331.757
        0.4696        158.80        296.998        304.700        331.560
        0.4711        159.34        296.882        304.560        331.504
        0.4726        159.88        296.827        304.525        331.505
        0.4741        160.41        296.781        304.469        331.467
        0.4756        160.95        296.767        304.341        331.391
        0.4771        161.49        296.702        304.191        331.415
        0.4786        162.03        296.552        304.118        331.446
        0.4801        162.57        296.438        304.123        331.497
        0.4816        163.11        296.291        304.130        331.476
        0.4831        163.65        296.158        304.225        331.454
        0.4846        164.18        296.101        304.148        331.405
        0.4861        164.72        296.049        304.106        331.247
        0.4876        165.26        295.946        304.038        331.063
        0.4891        165.80        295.819        303.961        330.949
        0.4906        166.34        295.763        303.925        330.857
        0.4921        166.88        295.700        303.848        330.923
        0.4936        167.41        295.625        303.799        330.973
        0.4951        167.95        295.627        303.591        331.081
        0.4966        168.49        295.608        303.479        331.113
        0.4981        169.03        295.617        303.447        331.108
        0.4996        169.57        295.533        303.387        331.031
        0.5010        170.11        295.584        303.327        330.863
        0.5025        170.64        295.526        303.282        330.722
        0.5040        171.18        295.479        303.203        330.777
        0.5055        171.72        295.421        303.089        330.692
        0.5070        172.26        295.338        303.021        330.615
        0.5085        172.80        295.279        302.917        330.545
        0.5100        173.34        295.130        302.884        330.408
        0.5115        173.88        295.094        302.792        330.379
        0.5130        174.41        295.060        302.794        330.406
        0.5145        174.95        294.937        302.729        330.471
        0.5160        175.49        294.839        302.647        330.568
        0.5175        176.03        294.759        302.633        330.482
        0.5190        176.57        294.661        302.540        330.377
        0.5205        177.11        294.603        302.472        330.243
        0.5220        177.64        294.529        302.353        330.230
        0.5235        178.18        294.496        302.264        330.233
        0.5250        178.72        294.418        302.156        330.268
        0.5265        179.26        294.335        302.107        330.259
        0.5280        179.80        294.304        302.065        330.317
        0.5295        180.34        294.252        301.965        330.387
