Time (Mars Years), Time (Ls), Tsurf 500 mb 30km, Tsurf 500 mb 50km, Tsurf 500 mb 100km
          [Years],     [deg],               [K],               [K],                [K]
        0.3141        102.80        276.169        289.743        323.333
        0.3156        103.34        276.116        289.610        323.281
        0.3171        103.88        275.962        289.436        323.258
        0.3186        104.42        275.641        289.277        323.274
        0.3201        104.96        275.334        289.146        323.327
        0.3216        105.49        275.027        289.101        323.270
        0.3231        106.03        274.758        288.983        323.189
        0.3246        106.57        274.577        288.815        323.068
        0.3261        107.11        274.413        288.733        323.048
        0.3276        107.65        274.227        288.552        323.076
        0.3290        108.19        274.009        288.350        323.014
        0.3305        108.72        273.796        288.192        322.999
        0.3320        109.26        273.678        288.046        322.986
        0.3335        109.80        273.566        287.883        322.886
        0.3350        110.34        273.475        287.689        322.894
        0.3365        110.88        273.295        287.468        322.903
        0.3380        111.42        272.955        287.358        322.822
        0.3395        111.95        272.501        287.172        322.756
        0.3410        112.49        272.423        287.020        322.727
        0.3425        113.03        272.326        286.839        322.660
        0.3440        113.57        272.100        286.684        322.660
        0.3455        114.11        271.936        286.623        322.622
        0.3470        114.65        271.731        286.495        322.515
        0.3485        115.19        271.540        286.479        322.535
        0.3500        115.72        271.481        286.379        322.490
        0.3515        116.26        271.354        286.205        322.410
        0.3530        116.80        270.990        285.998        322.395
        0.3545        117.34        270.755        285.799        322.386
        0.3560        117.88        270.687        285.592        322.347
        0.3575        118.42        270.678        285.434        322.262
        0.3590        118.95        270.596        285.247        322.271
        0.3605        119.49        270.504        285.025        322.233
        0.3620        120.03        270.369        284.768        322.164
        0.3634        120.57        270.261        284.514        322.132
        0.3649        121.11        270.172        284.182        322.122
        0.3664        121.65        269.938        283.831        322.079
        0.3679        122.19        269.697        283.634        322.062
        0.3694        122.72        269.528        283.570        322.048
        0.3709        123.26        269.326        283.542        321.983
        0.3724        123.80        269.214        283.473        321.992
        0.3739        124.34        269.255        283.258        322.016
        0.3754        124.88        269.118        283.050        321.946
        0.3769        125.42        268.882        282.897        321.870
        0.3784        125.95        268.675        282.828        321.835
        0.3799        126.49        268.514        282.723        321.784
        0.3814        127.03        268.388        282.635        321.823
        0.3829        127.57        268.220        282.467        321.782
        0.3844        128.11        267.953        282.260        321.713
        0.3859        128.65        267.533        281.975        321.697
